Localization and mapping for guiding minimally invasive cardiac procedures	/m/0j8wx64						
Psychiatry and Psychology in the Writings of L. Ron Hubbard	/m/0j5d7v_	10.1007/s10943-006-9079-9					
Plasmonic optical antennas for enhanced light detection and emission	/m/0j1z8qv						
Note on the child	/m/0kfnmzc						
Postlogging succession and habitat usage of shrubland birds	/m/05crks2	10.2193/2007-518					
Nonparametric conditional estimation	/m/0j2m_sy						
The Use of the Standard Address Number (SAN) in the Supply Chain	/m/0hfnyjt	10.3789/isqv23n3.2011.06					
The Ubx domain in the bithorax complex of Drosophila	/m/0jvm747						
A Comprehensive Wildlife Conservation Strategy for Georgia	/m/05983yv						
Epiphenomenal Qualia	/m/05hnpky						
Mechanistic insights towards new reactions and materials	/m/0jvcdn1						
A Few Words About Evolution	/m/0bh59ch	10.1038/416787a					
Biological Analogies in the Theory of the Firm	/m/0bnpsqy						
Finite element analysis of capacitive micromachined ultrasonic transducers beyond conventional operation	/m/0bqwb7r						
Updating relational databases through views	/m/0br2v_8						
An integrated system for de novo DNA sequencing	/m/0bq_6g0						
Stability and performance of wafer-scale thin-film encapsualted MEMS resonators	/m/0bhnlcs						
Rules Rather Than Discretion: The Inconsistency of Optimal Plans	/m/0hcg045						
Montague Institute Review index	/m/0gy2j7d						
Taphonomy and information losses in fossil communities	/m/0blzmc7	10.1130/0016-7606(1968) ​79[1315:TAILIF]​2.0.CO;2				Is uniformitarianism necessary?	
Harmonic force microscope	/m/0bhq0xy						
Upper and lower bounds to oscillator strengths	/m/0bqvk98						
Molecular transporters for drug delivery	/m/0bhmxf7						
Location aided receivers for wireless communication	/m/0bqw252						
The Role of Phyllotatic Pattern as a "Developmental Constraint" On the Interception of Light by Leaf Surfaces	/m/0bnps9f					The evolutionary biology of constraint	
Wildlife Loss through Domestication: the Case of Endangered Key Deer	/m/03bvrzg	10.1016/j.ecolmodel.2005.04.007					
A Rook Theory Model for Product Formulas and Poly-Stirling Numbers	/m/09lsn2p						
Modular Machine Code Verification	/m/09ql6sk						
Closed 2-Cell Embeddings Of 2-Connected Graphs In Surfaces	/m/09lt62q						
The Role of Extracellular Matrix in Lateral Transmission of Force in Skeletal Muscle	/m/09qkffb						
Investigation of Turbulent Flow in a Two-Dimensional Channel	/m/09q6dnt						
Blind Separation and Deconvolution: Contributions to Aggregated Time Series Analysis and Signal Processing	/m/09lt6dn						
Simulating Univariate and Multivariate Nonnormal Distributions Based on a Sytem of Power Method Distributions	/m/09qk9cx						
Toeplitz Operators on the Hardy and Bergman Spaces	/m/09pdsm7						
The Representations and Characters of Certain Finite Groups	/m/09pf6rz						
Methods for Eigenvalue Problems with Applications in Model Order Reduction	/m/09q6w5_						
Coarse-Graining of Atomistic Description at Finite Temperatur	/m/09qk55p						
The Lambda Data Grid: A New Architecture for the Optical Internet	/m/09q6wt5						
Evacuation by Earliest Arrival Flows	/m/09pcx5r						
Analysis on Fingering Problems in Fluids and Phase Transitions	/m/09lqtzc						
On Lattice Ordered Algebras	/m/09q6c74						
Towards Efficient and Reliable Distribution of Bulk Content	/m/09q6wz1						
The Relationship between Near-Wake Structure and Heat Transfer for an Oscillating Circular Cylinder in Cross-Flow	/m/09q6_nb						
Boundary Controllability of Maxwell's Equations with Nonzero Conductivity and an Application to an Inverse Source Problem	/m/09pffc2						
Projective Modules and Periodic Modules	/m/09km3j_						
An Active Mask Framework for the Segmentation of Fluorescence Microscope Images	/m/09qjz1v						
Some Linear and Nonlinear Problems Involving Differential Forms	/m/09pfgnq						
Nonparametric Statistical Process Control	/m/09q76w8						
Q-Markov Cover Identification and Integrated MCA-OVC Controller Design for Flexible Structures	/m/09pfgwk						
Funciones aleatorias periódicas	/m/09lmx_1						
An Asymptotic Analysis of Compressible Base Flow and the Implementation into Linear Plug Nozzles	/m/09q63xy						
Train-Induced Ground Vibrations: Modeling and Experiments	/m/09pd_1r						
Milnor Fiber Complexes for Rank 2 Shephard Groups and a Note on the Poincare Polynomials of an Arrangement	/m/09pcq2m						
Topics in Topological Ordered Spaces	/m/09q79sv						
Space-Based Robot Manipulators: Dynamics and Adaptive Control	/m/09qjm8m						
A Framework for Designing Multi-Level Emergence	/m/09qjgzb						
Numerical Methods for Finding Certain Solutions to Gross-Pitaevskii Type Equations with General Potentials	/m/09pfzt2						
Mixing as a Generalization of Independence	/m/09qj8fp						
Improving Planning for Railroad Yard, Forestry and Distribution	/m/09lmh7g						
Konstruktive Aspekte der Arithmetik in Diederkörpern	/m/09q7kst						
Technologies of Projection and Creation of Informational Portals on the Base of Specification of Functional Structure by Generalized Petri Nets	/m/09qj87q						
Continua which are Unicoherent at a Subcontinuum	/m/09qj7q_						
The Combinatorics of Reduced Decompositions	/m/09ll8db						
Some Considerations of Galois Objects	/m/09qj5kn						
Remarks on Some Weighted Sobolev Inequalities and Applications	/m/09lkhkj						
A Possible Analytical Explanation for the Micrometeorite Concentration near the Earth	/m/09pddw7						
Sobre a Teoria da Aproximação Funcional	/m/09qj5hp						
Stability of the Buoyancy and Ekman Boundary Layers by the Method of Energy	/m/09lkk05						
Alignment Issues in Laser Interferometric Gravitational-Wave Detectors	/m/09kjtfd						
The Missing Direction and Differential Geometry on Heisenberg Group	/m/09q7rhd						
Sur les toupies et les p-sphères de contact	/m/09p6kyl						
A Generalisation of Pre-Logical Predicates and Its Applications	/m/09qhyjl						
Bounded Variance Priors in Simultaneous Equations: Theory and Applications to the Political Economy of Nontariff Barriers to Trade	/m/09p6mpg						
An Algebraic Study of Residuated Ordered Monoids and Logics without Exchange and Contraction	/m/09qhygn						
On Construction of Robust Optimal Designs for Rational Regression Models	/m/09p6nj8						
The Course of Their Lives: Female Offenders on Probation	/m/09qhy45						
Convergence in the Incompressible Limit of Finite Element Approximations Based on the Hu-Washizu Formulation in Elasticity	/m/09q7vpg						
Empirical Determination of Computer Literacy Objectives for Two-Year and Four-Year Nursing Students	/m/09pdx_4						
Cliques and Other Peer Groups: Young Women	/m/09qhy2s						
On the Theory of Incomplete, Piezoelectric Bimorphs with Experimental Verification	/m/09pcbqh						
Re-Engineering the MIS Organization for Electronic Commerce	/m/09qc0fy						
Non-Darcy Non-Newtonian Free or Mixed Convection Heat Transfer in a Saturated Porous Medium	/m/09p6r0g						
Generalizations of Continuity, Symmetry and Symmetric Continuity	/m/09p6rx7						
Eigenvalue Problems Associated with Korn's Inequality in the Theory of Elasticity	/m/09kjv6y						
Strong Law of Large Numbers for Random Fields	/m/09p6s32						
Clifford Algebras, Inner Products, And Spinors	/m/09kjvj8						
Classes of Domains Related to the Cauchy Integral	/m/09q7y6n						
Constructions of Tolerance Regions for Some Multivariate Linear Models	/m/09p6scm						
Elementary Subgroups in Linear Groups over Rings	/m/09pg92c						
Grenzwertsaetze fuer Fuzzy-Zufallsvariablen unter dem Gesichtspunkt der Wahrscheinlichkeitstheorie auf inseparablen Semigruppen	/m/09pf2l9						
Hierarchical Hybrid Control of Automated Highway Systems	/m/09p6src						
Functional Thinking and the Study of Functional Relations in Elementary Algebra	/m/09lm8v4						
Semantic Operations on Base Structures	/m/09q7zxj						
Prime Implicates in First Order Logic	/m/09p6y0n						
A Fast Algorithm to the Conjugacy Problem on Generic Braids	/m/09p6yyz						
Fundamental Notions in Metric Curve Theory	/m/09pcb6q						
On the Theory of Generalized Analytical and Quasi-Analytical Functions on the Riemann Surfaces	/m/09p719f						
Efficient Algorithms for Helioseismic Inversion	/m/09qh7c3						
On q-Rings	/m/09km8gs						
Schema Theory-Based Computational Approach to Support	/m/09pc93q						
Sequential Fixed Width Confidence Intervals	/m/09kjvnr						
